title,authors,year,work_id,ol_ids,isbns,isdfb_ids,n_nom,n_win
Sugar Rain,Paul Park,1990,,,,,1,0
The Fountains of Paradise,Arthur C. Clarke,1980,734510,OL17742259W;OL17403W,2-226-00937-X;978-2-226-00937-1,,1,1
On Wings of Song,Thomas M. Disch,1980,,OL10532469W,978-0-575-02547-9;0-575-02547-6,,2,1
Heavy Weather,Bruce Sterling,1995,349508,OL1888047W,0-553-09393-2;978-0-553-09393-3,,1,0
The Web Between the Worlds,Charles Sheffield,1980,,,,,1,0
China Mountain Zhang,Maureen F. McHugh,1992,1607617,OL1833527W,978-0-312-85271-9;0-312-85271-1,,1,0
Glimmering,Elizabeth Hand,1998,,,,,1,0
Mission Child,Maureen F. McHugh,1999,,,,,2,0
Invisible Cities,Italo Calvino,1975,68476,OL9162823M;OL15297W,85-7164-149-8;978-80-7363-832-0;978-85-7164-149-5,,1,0
Agent of the Imperium,Marc W. Miller,2016,,,,,1,0
The Integral Trees,Larry Niven,1985,7420631,OL510446W,978-0-345-31270-9;0-345-31270-8,,1,1
Vergil in Averno,Avram Davidson,1987,,,,,1,0
Feersum Endjinn,Iain Banks,1995,851516,OL100769W,978-1-85723-235-6;1-85723-235-6,,1,0
Wizard,John Varley,1981,1385466,OL1860113W,978-0-399-12472-3;0-399-12472-1,,2,0
Worldwar: Tilting the Balance,Harry Turtledove,1996,,,,,1,0
The Privilege of the Sword,Ellen Kushner,2007,,,,,1,0
The Dark Forest,Liu Cixin,2016,42713958,OL20008029W,978-1-78497-158-8,,1,0
Eternity Road,Jack McDevitt,1998,,,,,1,0
Good News From Outer Space,John Kessel,1990,,,,,2,0
Hominids,Robert J. Sawyer,2003,1500323,OL17020W,,,0,1
Brasyl,Ian McDonald,2008,269900,OL8112309W,978-1-59102-543-6,,4,0
Systemic Shock,Dean Ing,1982,,,,,1,0
Shaman,Kim Stanley Robinson,2014,,,,,2,0
Under Heaven,Guy Gavriel Kay,2011,7373286,OL15092185W,978-0-670-06809-8;0-670-06809-8,,1,0
The Difference Engine,"Bruce Sterling, William Gibson",1991,1806578,OL27252W,0-575-04762-3;978-0-575-04762-4;978-0-553-29461-3,,2,0
It,Stephen King,1987,150259,OL81613W,978-0-670-81302-5;978-80-7306-855-4;978-80-7306-869-1;978-80-7593-130-6;0-670-81302-8,,1,0
Engine City,Ken MacLeod,2003,1104973,OL14871197W,978-1-84149-203-2;1-84149-203-5,,1,0
Queen of Candesce,Karl Schroeder,2008,,,,,1,0
Kaleidoscope Century,John Barnes,1996,,,,,1,0
Bug Jack Barron,Norman Spinrad,1969,2512433,OL47517W,,,1,0
Lisey's Story,Stephen King,2007,4512687,,0-7432-8941-2;978-0-7432-8941-2;978-80-7593-127-6,,1,0
"Hearts, Hands and Voices",Ian McDonald,1993,,,,,1,0
Flesh and Fire,Laura Anne Gilman,2009,,,,,1,0
Beyond the Blue Event Horizon,Frederik Pohl,1980,1584650,OL60931W,,,1,0
The Sword of the Lictor,Gene Wolfe,1983,715928,OL14871972W,,,2,0
Mainspring,Jay Lake,2008,3288142,OL8470526W,978-0-7653-1708-7;0-7653-1708-7,,2,0
Wild Seed,Octavia E. Butler,1981,1330000,OL35627W,978-0-385-15160-3;0-385-15160-8,,1,0
Ring of Swords,Eleanor Arnason,1994,,,,,1,0
