work_qid,description
Q595128,"Suddenly, condemned arch-swindler Moist von Lipwig found himself with a noose around his neck and dropping through a trapdoor into ... a government job? By all rights, Moist should be meeting his maker rather than being offered a position as Postmaster by Lord Vetinari, supreme ruler of Ankh-Morpork. Getting the moribund Postal Service up and running again, however, may prove an impossible task, what with literally mountains of decades-old undelivered mail clogging every nook and cranny of the broken-down post office. Worse still, Moist could swear the mail is talking to him. Worst of all, it means taking on the gargantuan, greedy Grand Trunk clacks communication monopoly and its bloodthirsty piratical headman. But if the bold and undoable are what's called for, Moist's the man for the job -- to move the mail, continue breathing, get the girl, and specially deliver that invaluable commodity that every being, human or otherwise, requires: hope."
Q122452552,"*Shades of Milk and Honey* is an intimate portrait of Jane Ellsworth, a woman ahead of her time in a version of Regency England where the manipulation of glamour is considered an essential skill for a lady of quality. Despite the prevalence of magic in everyday life, other aspects of Dorchester's society are not that different: Jane and her sister Melody's lives still revolve around vying for the attentions of eligible men.

Jane resists this fate, and rightly so, because while her skill with glamour is remarkable, it is her sister who is fair of face, and therefore wins the lion's share of the attention. At the ripe old age of twenty-eight, Jane has resigned herself to being invisible forever. But when her family's honor is threatened, she finds that she must push her skills to the limit in order to set things right--and, in the process, accidentally wanders into a love story of her own.

This debut novel from an award-winning talent scratches a literary itch you never knew you had. Like wandering into a secret picnic attended by *Pride and Prejudice* and *Jonathan Strange & Mr Norrell*, *Shades of Milk and Honey* is precisely the sort of tale we would expect from Jane Austen...if she lived in a world where magic worked.

This description comes from the publisher."
Q2759020,"Miles Vorkosigan launches a campaign to win the heart of Ekatarina, whose former husband died as a result of Miles' investigations in the book *Komarr*,  by the same author.  As a member of the Vor class, Miles and Ekatarina are constrained by many social strictures. Because Miles is politically important, he and his actions are under close scrutiny and subject to various forms of political and social attack. The book is a comedy of manners, very well done so that we seldom look up and wonder why the characters don't just cut to the chase."
Q2294155,"""His best book,"" Esquire wrote of Kurt Vonnegut's 1959 novel The Sirens of Titan, adding, ""he dares not only to ask the ultimate question about the meaning of life, but to answer it.""  This novel fits into that aspect of the Vonnegut canon that might be classified as science fiction, a quality that once led Time to describe Vonnegut as ""George Orwell, Dr. Caligari and Flash Gordon compounded into one writer ... a zany but moral mad scientist.""

The Sirens of Titan was perhaps the novel that began the Vonnegut phenomenon with readers. The story is a fabulous trip, spinning madly through space and time in pursuit of nothing less than a fundamental understanding of the meaning of life. It takes place at a time in the future, when ""only the human soul remained terra incognita ... the Nightmare Ages, falling roughly, give or take a few years, between the Second World War and the Third Great Depression.""

The villainous and super rich Malachi Constant is offered a chance to journey into the far reaches of outer space, to eventually live on the planet Titan surrounded by three beautiful sirens. There is the proverbial ""small print"" with this incredible offer, which Constant turns down, setting in motion a fantastic chain of events that only Vonnegut could imagine. The result is an uproarious, freewheeling inquiry into the very reason we exist and about how we participate and matter in the scheme of the universe.

The Sirens of Titan is essential, fundamental Vonnegut, as entertaining as it is questing in search of answers to the mysteries of life.  As a work of fiction, it is a sure leap, in terms of craft, over his first novel, Player Piano. His writing here is pared down, more concentrated and graceful, richly in the service of his remarkable ideas. Vonnegut summons greatness for the first time in The Sirens of Titan, where the search for the meaning of existence looks and sounds like a kaleidoscopic dream but leaves the reader with a clear and challenging answer."
Q3223113,"Cameraman Richard Grey's memory has blanked out the few weeks before he was injured in a car bomb explosion. When he is visited by a girl who seems to have been his lover, his attempts to recall the forgotten period produce an odyssey through France and conflicting accounts of what happened. When Susan Kewley speaks to him of that time, he finds himself glimpsing a terrible twilight world - the world of the glamour."
Q6725637,"Throughout history, man has been searching for better ways to gather information about his universe. But although they may have longed for it, not even the most brilliant minds could conceive of a device as infinitely powerful or as immeasurably precise as the macroscope, until the twenty-first century. By analyzing information carried on macrons, this unbelievable tool brought the whole universe of wonders to man's doorstep. The macroscope was seen by many as the salvation of the human race. But in the hands of the wrong man, the macroscope could be immensely destructive-infinitely more dangerous than the nuclear bomb. By searching to know too much, man could destroy the very essence of his mind. This is the powerful story of man's struggle with technology, and also the story of his human struggle with himself. This novel takes us across the breathtaking ranges of space as well as through the most touching places in the human heart. It is a story of coming of age, of sacrifice, and of love. It is the story of man's desperate search for a compromise between his mind and his heart, between knowledge and humanity."
Q3015377,"From the back cover Warner paperback February 2004:

2019: NASA astronaut Nigel Walmsley is sent on a mission to intercept a rogue asteroid on a collision course with Earth.  Ordered to destroy the comet, he instead discovers that it is actually the shell of a derelict space probe -- a wreck with just enough power to emit a single electronic signal...

2034: Then a reply is heard.  Searching for the source of this signal that comes from outside the solar system, Nigel discovers the existence of a sentient ship.  When the new vessel begins to communicate directly with him, the astronaut learns of the horrors that await humanity.  For the ship was created by an alien race that has spent billions and billions of years searching for intelligent life... to annihilate it."
Q58221164,"Thousands of years in the future, humanity is no longer alone in a universe where a mind's potential is determined by its location in space, from superintelligent entities in the Transcend, to the limited minds of the Unthinking Depths, where only simple creatures, and technology, can function. Nobody knows what strange force partitioned space into these ""regions of thought,"" but when the warring Straumli realm use an ancient Transcendent artifact as a weapon, they unwittingly unleash an awesome power that destroys thousands of worlds and enslaves all natural and artificial intelligence.

Fleeing this galactic threat, Ravna crash lands on a strange world with a ship-hold full of cryogenically frozen children, the only survivors from a destroyed space-lab. They are taken captive by the Tines, an alien race with a harsh medieval culture, and used as pawns in a ruthless power struggle."
Q7426767,"Sometime in the twenty-third century, humanity went extinct—leaving only androids behind. Freya Nakamichi 47 is a femmebot, one of the last of her kind still functioning. With no humans left to pay for the pleasures she provides, she agrees to transport a mysterious package from Mercury to Mars. Unfortunately for Freya, she has just made herself a moving target for some very powerful, very determined humanoids who will stop at nothing to possess the contents of the package."
Q24255737,"A follow-up to the Hugo Award-nominated Blindsight, Echopraxia is set in a 22nd-century world transformed by scientific evangelicals, supernatural beings and ghosts, where defunct biologist Daniel Bruks becomes trapped on a spaceship destined to make an evolutionary-changing discovery."
Q1759977,"Nine hundred thousand years ago, something annihilated the Amarantin civilization just as it was on the verge of discovering space flight. Now one scientist, Dan Sylveste, will stop at nothing to solve the Amarantin riddle before ancient history repeats itself. With no other resources at his disposal, Sylveste forges a dangerous alliance with the cyborg crew of the starship Nostalgia for Infinity. But as he closes in on the secret, a killer closes in on him. Because the Amarantin were destroyed for a reason — and if that reason is uncovered, the universe—and reality itself — could be irrecoverably altered…."
Q828031,"Firestarter is a science fiction-horror thriller novel by Stephen King, first published in September 1980. In July and August 1980, two excerpts from the novel were published in Omni. In 1981, Firestarter was nominated as Best Novel for the British Fantasy Award, Locus Poll Award, and Balrog Award.


----------
Also contained in:
[Ominbus](https://openlibrary.org/works/OL25080326W)"
Q3736382,"Six million years ago, at the dawn of the star-faring era, Abigail Gentian fractured herself into a thousand male and female clones, which she called shatterlings. She sent them out into the galaxy to observe and document the rise and fall of countless human empires. Since then, every two hundred thousand years, they gather to exchange news and memories of their travels.Only this millennium there is no gathering. Someone is eliminating the Gentian line. And Campion and Purslane—two shatterlings who have fallen in love and shared forbidden experiences— must determine exactly who, or what, their enemy is, before they are wiped out of existence."
Q85624939,"**Human survival hinges on an bizarre alliance in Semiosis, a character driven science fiction novel of first contact by debut author Sue Burke.**

Forced to land on a planet they aren't prepared for, human colonists rely on their limited resources to survive. The planet provides a lush but inexplicable landscape – trees offer edible, addictive fruit one day and poison the next, while the ruins of an alien race are found entwined in the roots of a strange plant. Conflicts between generations arise as they struggle to understand one another and grapple with an unknowable alien intellect. 

Only mutual communication can forge an alliance with the planet's sentient species and prove that humans are more than tools.

**Content warning: Describes sexualized violence**"
