isbn,work_qid
9781451627282,Q723020
9780345351739,Q212718
0345351738,Q212718
9780316098120,Q4631472
0316098124,Q4631472
9780246126894,Q223784
9780345315229,Q223784
0246126892,Q223784
0345315227,Q223784
0671578278,Q2759020
9780671578275,Q2759020
9780553579901,Q300370
9780002245852,Q300370
9780553108033,Q300370
0553579908,Q300370
000224585X,Q300370
0553108034,Q300370
9781473621473,Q43625060
9781473621442,Q43625060
9780002247399,Q28306
9780553801477,Q28306
0553801473,Q28306
0553277650,Q131375939
9780553277654,Q131375939
0812536355,Q2292400
0312856830,Q2292400
9780812536355,Q2292400
9780312856830,Q2292400
9781529001631,Q105722561
9780877957638,Q4656557
0877957630,Q4656557
9780553582024,Q1764445
9780002247436,Q1764445
9780553801507,Q1764445
0002247437,Q1764445
0553801503,Q1764445
0812515285,Q58221164
0312851820,Q58221164
9780812515282,Q58221164
9780312851828,Q58221164
0385263244,Q3404279
9780385263245,Q3404279
9780553573404,Q1751870
9780002245845,Q1751870
9780553103540,Q1751870
0553573403,Q1751870
0002245841,Q1751870
0553103547,Q1751870
0399119469,Q65129562
9780399119460,Q65129562
1529001587,Q82566838
9781529001587,Q82566838
9781529001594,Q82566838
9781250186430,Q82566838
9780345244048,Q4658233
9780385055055,Q4658233
0345244044,Q4658233
0385055056,Q4658233
9780553573428,Q431927
9780002245869,Q431927
9780553106633,Q431927
055357342X,Q431927
0002245868,Q431927
0553106635,Q431927
9781618730626,Q44517047
9781931520768,Q44517047
9780441795536,Q4659971
0441795536,Q4659971
0575075570,Q3090152
9780575075573,Q3090152
9780575074347,Q3090152
0441014151,Q2300209
0441012841,Q2300209
9780441014156,Q2300209
9781841493909,Q2300209
9780441012848,Q2300209
9780374104115,Q16824659
9780671446680,Q4676501
0671446681,Q4676501
9780698404335,Q85740021
9780425282403,Q85740021
9781857231793,Q4691060
9781857230314,Q4691060
1857231791,Q4691060
1857230310,Q4691060
9781594201202,Q4691072
159420120X,Q4691072
9780553807677,Q11681262
0380399334,Q16271791
9780380399338,Q16271791
9780140266139,Q900595
9780670875573,Q900595
0670875570,Q900595
9780765379948,Q29469803
0765379945,Q29469803
9780380789030,Q430514
9780060558123,Q430514
9780380973651,Q430514
0380789035,Q430514
0060558121,Q430514
0380973650,Q430514
076532153X,Q2269230
9780765321534,Q2269230
9780061474095,Q487364
0061474096,Q487364
9780316246620,Q17001721
0356502422,Q18003141
9780316246682,Q18003141
9780356502427,Q18003141
9780356502410,Q17989172
9780316246651,Q17989172
9780425041352,Q4753290
9780441022687,Q4753290
0425041352,Q4753290
9780374104092,Q16961640
9780002253598,Q3459064
9780553574029,Q3459064
9781841491004,Q44376999
9780575080577,Q4791614
0575080574,Q4791614
0312930488,Q75551719
0812531787,Q75551719
9780312930486,Q75551719
9780812531787,Q75551719
0399587349,Q100710210
9780399587344,Q100710210
9780374104108,Q16835895
9780765348265,Q1078499
9780765309396,Q1078499
0765348268,Q1078499
0765309394,Q1078499
9780063021426,Q114310172
9780008501815,Q114310172
9780575094208,Q2722309
067172083X,Q2419894
9780671720834,Q2419894
9780312858179,Q4880453
0312858175,Q4880453
9780688121891,Q850150
0688121896,Q850150
9780553375626,Q2891748
0553375628,Q2891748
9780356514796,Q110088422
9780765341600,Q2906615
9780765302625,Q2906615
0765341603,Q2906615
0765312182,Q2511421
9780765312181,Q2511421
9780345485373,Q4928148
9780345424655,Q4928148
9780345408570,Q4928148
0345485378,Q4928148
0345424654,Q4928148
0345408578,Q4928148
9780575088283,Q3697826
9780575088276,Q3697826
9780441574575,Q4941511
0441574572,Q4941511
1481429787,Q122452562
9781481429788,Q122452562
9780008159184,Q30608684
0671742264,Q4180242
9780671742263,Q4180242
9781591025436,Q4957980
0553100343,Q3088925
9780553100341,Q3088925
9780688108229,Q4984887
0688108229,Q4984887
9781841499901,Q5019811
0441011616,Q2240456
9780441011612,Q2240456
9781451638455,Q5036850
9780385333481,Q41359
038533348X,Q41359
9780575076914,Q5063196
9780575074361,Q5063196
0575076917,Q5063196
0575074361,Q5063196
0671877011,Q2253255
9780671877019,Q2253255
0575060522,Q48813319
9780575060524,Q48813319
9780399130274,Q282814
9780441010646,Q1068060
9780575068773,Q1068060
0441010644,Q1068060
9780765301550,Q5097878
0765301555,Q5097878
9780425033104,Q437365
9780399116971,Q437365
0399116974,Q437365
0312853955,Q2608698
9780312853952,Q2608698
9780385518635,Q5113944
0385518633,Q5113944
9780738811512,Q4501974
0738811513,Q4501974
031621762X,Q19610145
9780316217620,Q19610145
9780345448392,Q5123535
0345448391,Q5123535
9780879979621,Q3207474
0879979623,Q3207474
080413717X,Q56046005
9780804137171,Q56046005
0061052132,Q3209704
9780061052132,Q3209704
9780671434007,Q741013
0671434004,Q741013
9780312861162,Q5173054
0312861168,Q5173054
9780765300324,Q5174346
9780765340733,Q5174346
076530032X,Q5174346
0765340739,Q5174346
9781439133941,Q3005722
9780060512804,Q534975
9780380973460,Q534975
0060512806,Q534975
0380973464,Q534975
9780446514286,Q356107
0446514284,Q356107
9780765344960,Q5223299
0839823339,Q3224655
9780839823339,Q3224655
034542333X,Q2246747
9780345423337,Q2246747
9780765319050,Q3016630
9780312860387,Q3016630
0765319055,Q3016630
0312860382,Q3016630
9780399129674,Q5243636
0399129677,Q5243636
9781784971625,Q607511
1784971626,Q607511
9780380798360,Q5249488
0380798360,Q5249488
9780441142675,Q5256189
9780399129452,Q5256189
0441142672,Q5256189
0399129456,Q5256189
9780316003384,Q111992632
0552685542,Q3706366
9780575090996,Q3706366
9780553148619,Q3706366
9780552685542,Q3706366
9780061052811,Q3565822
9780752809250,Q3565822
0061052817,Q3565822
0752809253,Q3565822
9780743436120,Q3149129
9780316363655,Q43569582
9780575081734,Q3205332
9780060147891,Q664034
006014789X,Q664034
9780553268102,Q5302472
0553268104,Q5302472
9780765309532,Q3015406
9780765304360,Q3015406
076530953X,Q3015406
0765304368,Q3015406
0312941005,Q2113191
9780312941000,Q2113191
9780312940997,Q2113191
0345286464,Q3205839
9780345286468,Q3205839
0689306857,Q3235696
9780689306853,Q3235696
0345331605,Q2737699
9780345331601,Q2737699
0689305702,Q3207217
9780689305702,Q3207217
9780399125911,Q5306348
0399125914,Q5306348
9780312866587,Q5306607
0312866585,Q5306607
9780395264706,Q598315
0395264707,Q598315
9781473233959,Q190192
147323395X,Q190192
9780684130835,Q2916242
0684130831,Q2916242
9780671228613,Q135165
9780812551617,Q5327095
0812551613,Q5327095
9780765310453,Q5330486
9780765307590,Q5330486
0765307596,Q5330486
9780765328021,Q24255737
