work_qid,description
Q120733980,"The engineer Ziani Vaatzes engineered a war to be reunited with his family. The deaths were regrettable, but he had no choice.

Duke Valens dragged his people into the war to save the life of one woman - a woman whose husband he then killed. He regrets the evil he's done, but he, equally, had no choice.

Secretary Psellus never wanted to rule the Republic, or fight a desperate siege for its survival. As a man of considerable intelligence, he knows that he has a role to play - and little choice but to accept it.

The machine has been built. All that remains is to set it in motion."
Q122452512,"The special research vessel ALICE was the oddest ship that ever flew the ensign of the United States Navy; small, wooden-hulled and sail-powered, she would have been less out of place in the Navy of a hundred years ago - if it weren't for the electrician's nightmare of a christmas tree hanging from her main boom.
The purpose of the ""christmas tree"" was to detect enemy submarines, it wasn't very good at that, but when lightning struck it proved itself highly efficient at...something else. For when the smoke cleared, there off the port bow was a long-ship. Full of Vikings. Throwing things.
The ALICE had become...The Ship That Sailed The Time Stream,"
Q122452514,"In answer to an unanswerable future, science has created Bohn, the omnipotent computer whose flashing circuits and messianic [pronouncements dictate what tomorrow will - or will not - be. But Matthew Oliver is flesh and blood and full of questions - not nearly as certain as the machine he's appointed to serve. And the right hand of science seldom knows what the left hand is doing . . ."
Q122452522,"The time is the distant future. Earth has been rendered uninhabitable for much of the year by terrible storms during which its only city, Center, constructed around a natural cave system, is sealed from the outside.

Mischa, a young thief whose capabilities are enhanced by hereditary mutation, is trying to escape with her drug-addicted brother from the dominance of her uncle. So when a starship arrives commanded by the twin alien pseudosibs Subone and Subtwo, Mischa seizes her chance. She is soon assigned for training to Jan Hiraku, who quickly realises that Mischa has immense abilities. All goes well until Subone, in a moment of cruelty, lures Mischa's brother into a fight and then kills him. Mischa attacks Subone and both she and Jan have to flee the wrath of the brothers and take refuge in the deep caves underneath the city."
Q122452526,"On the Eve of the Fourth Millennium a slowly-building civilization, struggling out of the rubble of the Drowning, was crushed beneath the sceptor of a powerful and repressive Church. But on the Eve of the Fourth Millennium the sound of a magical pipe was heard, and the air was filled with songs of freedom and enlightenment. And on the Eve of the Fourth Millennium the Boy appeared, bringing the gift of sacrilege, a harbinger of the future, heralding the arrival of the White Bird of Dawning. It is the coming of a New Age. A glorious future bearing the presents of the past!"
Q122452532,"Years ago, Eddie Yates disappeared into the rainforests of the Yucatan, a burned-out visionary in search of cosmic truth. A mysterious photo sends Lindsey, his ex-wife, on a quest to bring him back and puts her on a collision course with Eddie's brother Thomas, whose desire for her has never faded. Their search leads them to the ruined Mayan temples of NaChan, deep in the jungle, where mushrooms grow that can send you back through time--or kill you. NaChan is sacred to the Landon Indians, and their enigmatic shaman Chan Ma'ax. But the ruins have also become a nexus for the political forces that are tearing Mexico apart. Lindsey, Thomas, and Eddie are soon caught between Carla's rebel army and the secret US paramilitary group known as the Fighting 666th as they face off in the first battle of the end of the world."
Q122581066,"A STAR EXPLODES... And a billion years later, a galaxy explodes in war. When the heavymetal ruin of Mirkheim is discovered at the edge of Known Space, the gigantic planet becomes the center of a war that is fought in all the far reaches of Earth's dazzling and corrupt empire. This epic adventure of the end of a thousand-year civilization sweeps from hyperspace skirmishes in the radio glare of dark suns, to the bloody deals in the corridors of Earth itself, where the stars are traded like coins."
Q1292989,
Q131375038,
Q131375083,"Abel Roon learned early of his fantastic powers - his uncanny ability to sense states of the ocean, anticipate its currents and changes, read its mist violent and treacherous moods. As a young sheppard on the blustery shores of Cape Cod, it was the waters that spoke to him, the tides that beckoned hims, the whispering sea creatures that talked his secret language."
Q131375460,"Eleven hundred years after the apocalyptic destruction of the United States of America, peace between the remaining warring tribes has finally been achieved. Despite this peace, the Pelbar stronghold Threerivers retains its secretive and reclusive ways, keeping its distance from the other remaining tribes and guarding against change. A strict matriarchy, Threerivers remains the most conservative Pelbar community under the unquestioned and unyielding rule of its leader, Udge. Life in Threerivers continues without change until two young twin brothers, Brudoer and Gamwyn, accidentally initiate events that threaten the established order. The resulting chain of consequences sends Gamwyn on a quest to the far reaches of this postapocalyptic world. Within Threerivers, Brudoer’s imprisonment threatens the long-established matriarchal rule of the Pelbar stronghold."
Q131375520,"At thirteen, Bran Tregare was stripped of his home, his name and his family, and sent to the brutal space academy known as the Slaughterhouse.

At seventeen, he'd survived the sadistic discipline of a starcaptain called the Butcher to become an ace pilot, crack gunner and hardened killer.

At twenty, he escaped with an armed warship to begin a one-man war against Earth's imperial masters."
Q131376193,"Jim Bentley's plans for the evening were simple: a movie and the graveyard shift at the 7-Eleven. That was before he stumbled into another world. Evolution has taken a very different direction on this parallel Earth, but some things are constant. Jim Bentley has fallen straight from his ordinary life into the most constant thing of all: war. Even as he struggles to learn the ways of a strange culture, to make a place for himself in what seems likely to be his home for the rest of his life, the tides of revolution are rising around him. Jim Bentley has a part to play in this war--for his coming has been foretold by True Dreamers. His feet are already set on a path that leads to the heart of the crisis. Like it or not, he is vital to the war efforts of the Architect of Sleep."
Q131376342,The curious events described in a 19th-century journal draw professor Eve Pennington into a dark conspiracy surrounding a small island off the Nantucket coast. A touch of Lovecraftian other-worldliness heightens the intensity of this carefully crafted novel of alien contact and human self-discovery.
Q131376397,"The depression has meant that a mission to Mars has been shelved for 20 years. But then Markham, head of Pellucida Films, cons two of the original Mars spacemen out of retirement and promises them their dream of setting foot on the Red Planet. By the author of ""Wyrldmaker""."
Q131376613,"For almost 30, 000 years The Land has been a dependency of The Empire Across The River. The Empire retains a mechanistic technology in the hands of the wealthy and the civil service, but The Land uses its dead, whose brains are linked to a massive data network."
Q131376614,"When Ruby, the proprietor of an android business, and Golem, her favorite android, attempt to save a rich Egyptian from a collapsing skyscraper, they instead become deeply involved in an adventure that could take Ruby to the despised Outside. Original."
Q131376616,"In the year 2015, a dolphin researcher with dubious motives removes the barriers impeding human/delphine communications and transforms the ocean-dwelling creatures into cybernetic weapons of destruction."
Q131376752,"Returning to Mars after a long visit to Earth, a politician learns that his younger brother has become involved in a dangerous underground cult movement that is responsible for a governor's assassination."
Q131381588,"Young security officer Baro Harkless, an idealist driven by the memory of his heroic father, and jaded Luff Imbry, a mountebank, swindler, and forger of the first water, form an uneasy truce when they discover a common goal: capturing the greatest conman of them all, Horselan Gebbling"
