author_qid,pubDate,goodreads_id,title,authorLabel,work_qid,year,n_nom,n_win,awards_as_of_year,age,birth_country,gender
Q1006918,1965-01-01T00:00:00Z,,The Ship That Sailed the Time Stream,G. C. Edmondson,Q122452512,1965,1,0,0,43.0,United States,male
Q100965734,2020-08-20T00:00:00Z,,The House of Styx,Derek Künsken,Q131382878,2022,1,0,1,,,male
Q1029497,2006-11-28T00:00:00Z,,Carnival,Elizabeth Bear,Q25217435,2007,2,0,1,36.0,United States,female
Q1029497,2007-08-01T00:00:00Z,,Undertow,Elizabeth Bear,Q131381664,2008,1,0,4,37.0,United States,female
Q1029497,2010-02-20T00:00:00Z,,Chill,Elizabeth Bear,Q131382134,2011,1,0,13,40.0,United States,female
Q1029497,2011-02-22T00:00:00Z,,Grail,Elizabeth Bear,Q131382162,2012,1,0,15,41.0,United States,female
Q1029497,2019-03-05T00:00:00Z,,Ancestral Night,Elizabeth Bear,Q131382806,2020,1,0,33,49.0,United States,female
Q1029497,2020-10-06T00:00:00Z,,Machine,Elizabeth Bear,Q131382870,2021,1,0,38,50.0,United States,female
Q1029714,1988-07-01T00:00:00Z,,Hellspark,Janet Kagan,Q131376311,1989,1,0,0,43.0,United States,female
Q1038440,2003-03-01T00:00:00Z,,Veniss Underground,Jeff VanderMeer,Q7920028,2004,1,0,1,36.0,United States,male
Q1038440,2009-11-01T00:00:00Z,,Finch,Jeff VanderMeer,Q3745649,2009,2,0,8,41.0,United States,male
Q1038440,2014-02-04T00:00:00Z,24946895.0,Annihilation,Jeff VanderMeer,Q16961640,2015,1,1,11,47.0,United States,male
Q1038440,2014-05-06T00:00:00Z,,Authority,Jeff VanderMeer,Q16835895,2015,1,0,11,47.0,United States,male
Q1038440,2014-08-29T00:00:00Z,,Acceptance,Jeff VanderMeer,Q16824659,2015,1,0,11,47.0,United States,male
Q1038440,2017-04-25T00:00:00Z,,Borne,Jeff VanderMeer,Q30608684,2018,2,0,14,50.0,United States,male
Q1038440,2021-04-06T00:00:00Z,,Hummingbird Salamander,Jeff VanderMeer,Q107056141,2022,1,0,16,54.0,United States,male
Q104038379,2022-05-10T00:00:00Z,,Siren Queen,Nghi Vo,Q127425112,2023,1,0,3,42.0,United States,female
Q104773021,2023-08-29T00:00:00Z,,Where Peace Is Lost,Valerie Valdes,Q131382922,2024,1,0,0,,United States,female
Q105627960,2021-11-10T00:00:00Z,,The Horizon,Gautam Bhatia,Q131382895,2022,1,0,1,34.0,,male
Q105994,,2977727.0,Perfume,Patrick Süskind,Q459303,1987,0,1,0,38.0,Germany,male
Q1061225,1977-05-01T00:00:00Z,,Inherit the Stars,James P. Hogan,Q3835810,1978,1,0,0,37.0,United Kingdom,male
Q1061225,1979-06-01T00:00:00Z,,The Two Faces of Tomorrow,James P. Hogan,Q11519513,1980,1,0,1,39.0,United Kingdom,male
Q1061225,1980-03-01T00:00:00Z,74625.0,Thrice Upon a Time,James P. Hogan,Q7798123,1981,1,0,3,40.0,United Kingdom,male
Q1061225,1981-07-01T00:00:00Z,,Giants' Star,James P. Hogan,Q11479750,1982,1,0,4,41.0,United Kingdom,male
Q1061225,1983-06-01T00:00:00Z,,Code of the Lifemaker,James P. Hogan,Q5140094,1984,1,0,5,43.0,United Kingdom,male
Q1061225,1985-10-01T00:00:00Z,,The Proteus Operation,James P. Hogan,Q7758618,1986,1,0,6,45.0,United Kingdom,male
Q1066587,1991-01-01T00:00:00Z,,The Little Country,Charles de Lint,Q131413612,1992,1,0,8,41.0,Netherlands,male
Q1066587,1997-02-01T00:00:00Z,,Trader,Charles de Lint,Q131413614,1998,1,0,12,47.0,Netherlands,male
Q1066587,1998-02-01T00:00:00Z,,Someplace to Be Flying,Charles de Lint,Q131413615,1999,1,0,13,48.0,Netherlands,male
Q1066587,2000-06-01T00:00:00Z,,Forests of the Heart,Charles de Lint,Q122452546,2000,1,0,14,49.0,Netherlands,male
Q1066587,2001-10-01T00:00:00Z,,The Onion Girl,Charles de Lint,Q7755109,2002,1,0,16,51.0,Netherlands,male
Q1066918,2009-12-02T00:00:00Z,,Sleepless,Charlie Huston,Q7539916,2011,1,0,0,43.0,United States,male
Q1070662,1967-01-01T00:00:00Z,,The Butterfly Kid,Chester Anderson,Q7720810,1968,1,0,0,36.0,United States,male
Q107719145,2024-04-02T00:00:00Z,,Someone You Can Build a Nest in,John Wiswell,Q133559611,2025,1,0,11,44.0,,male
Q108753885,2023-08-08T00:00:00Z,,Shigidi and the Brass Head of Obalufon,Wole Talabi,Q131443971,2023,2,0,2,37.0,,male
Q1090406,1984-03-01T00:00:00Z,924936.0,Dr. Adder,K. W. Jeter,Q2113191,1985,1,0,0,35.0,United States,male
Q1090406,1989-02-01T00:00:00Z,,Farewell Horizontal,K. W. Jeter,Q129321723,1990,2,0,2,40.0,United States,male
Q1090406,1998-11-01T00:00:00Z,,Noir,K. W. Jeter,Q7047624,1999,1,0,7,49.0,United States,male
Q109187122,2021-09-21T00:00:00Z,77901205.0,Iron Widow,Xiran Jay Zhao,Q109255097,2022,1,0,0,25.0,People's Republic of China,non-binary gender
