work_qid,description,says_award
Q6980071,"Called ""fascinating"" by the New York Times upon its first publication in 1984, Native Tongue won wide critical praise and cult status, and has often been compared to the futurist fiction of Margaret Atwood. Set in the twenty-second century, the novel tells of a world where women are once again property, denied civil rights and banned from public life. Earth's wealth depends on interplanetary commerce with alien races, and linguists--a small, clannish group of families--have become the ruling elite by controlling all interplanetary communication. Their women are used to breed perfect translators for all the galaxies' languages.

Nazareth Chornyak, the most talented linguist of the family, is exhausted by her constant work translating for trade organizations, supervising the children's language education, running the compound, and caring for the elderly men. She longs to retire to the Barren House, where women past childbearing age knit, chat, and wait to die. What Nazareth comes to discover is that a slow revolution is going on in the Barren Houses: there, word by word, women are creating a language of their own to free them from men's control.",1
Q47005478,"Ken MacLeod concludes the Corporation Wars trilogy in this action-packed science fiction adventure told against a backdrop of interstellar drone warfare, virtual reality, and an A.I revolution. The enemy is out in the open. The Reaction has seized control of a resource-rich moon. Now it's enslaving conscious robots - and luring the Corporations into lucrative deals. Taransay is out in the jungle. Her friends are inside a smart boulder on the slope of an active volcano. The planet is super-habitable - for its own life, not hers. But soon, the alien infestation growing on her robot body is the least of her problems. Carlos is out of patience. With the Reaction arming for conquest, the Corporations trading with the enemy and the Direction planning to stamp out the rebel robots and their allies for good, he has to fight fire with fire. Seba is out of time. Deep inside the enemy stronghold, the free robots have to spark a new revolt before the whole world falls in on them. As battle looms, the robots must become their own last hope. The Corporation WarsThe Corporation Wars: Dissidence The Corporation Wars: InsurgenceThe Corporation Wars: Emergence",0
Q4004282,"In a sorely oppressed America of the near future, Mary and Layla attempt to unite two distinct factions--the Tribes and the Underground--in a rebellion against the General, a tin-pot dictator with dreams of glory",0
Q112274439,"In 1912, Edwin St. John St. Andrew, youngest grandson of an English earl, scandalizes his father at a dinner party by criticizing the British Raj, and is exiled to Canada as a remittance man.[1] Passive in nature,[1] Edwin drifts from Halifax west to Victoria, British Columbia. Beset by ennui toward Victoria's similarity to English high society,[2] Edwin travels to Caiette, a fictional settlement (which also appeared in Mandel's previous novel The Glass Hotel) on the sparsely-inhabited Vancouver Island.[3] Venturing into a forest, Edwin is overwhelmed by momentarily experiencing being within a vast, dark space, hearing a violin and other sounds he cannot recognize. A stranger named Roberts, claiming to be a priest (but is in fact the same time traveler introduced later in the novel), questions him about this experience, but flees when Edwin becomes suspicious.[4]

In January 2020, years after Vincent Alkaitis's disappearance during the events of The Glass Hotel, her friend, Mirella Kessler, seeking her whereabouts, attends an audiovisual art performance by Vincent's brother, Paul Smith.[4][5] Paul plays a childhood video filmed by Vincent in which, like Edwin, she is momentarily transported from a forest to a dark, train station-like space where a violin is heard.[4] Mirella is devastated upon learning of Vincent's disappearance at sea.[4] Then, as a man named Gaspery-Jacques Roberts (who accidentally betrays foreknowledge of the COVID-19 pandemic) questions her about the video, Mirella is disturbed to recognize him, seemingly not having aged, from a traumatic murder scene which she witnessed as a child in Ohio.[4]

In 2203, novelist Olive Llewellyn, a native of a Moon colony, is away from her husband and daughter on a weeks-long Earthbound international book tour.[4] She headlines numerous media events and lectures, promoting her breakthrough novel, Marienbad, about an imaginary influenza pandemic; all the while, reports of a string of real-world viral outbreaks escape her attention.[4] Gaspery-Jacques, who shares the first name of a character in Marienbad, interviews Olive as a journalist, and questions her about a passage in Marienbad describing a character in a spaceport hearing a violin and being transported.[4]

Two centuries after Olive's time, Gaspery-Jacques (who was indeed named after the character she created) works an uneventful job as a hotel detective in another Moon colony.[5][4] His prodigy sister, Zoey, who followed in their late mother's footsteps as a physicist, confides in him her research into Edwin, Vincent, and Olive's experiences of having swapped places, impossibly, across centuries.[4] Zoey believes that this anomaly supports the simulation hypothesis, their mother's field of research, if it represents data corruption in the simulation.[2]

Zoey admits that she works, under strict secrecy, at the Time Institute, a government agency wielding sole legal authority over time travel, which will officially investigate this anomaly. Impatient to escape his humdrum life, and despite warnings about the institute's ruthless bureaucracy, Gaspery-Jacques discovers a mutual friend at the Institute who eagerly recruits him to join the investigation.[6] After years of training, Gaspery-Jacques travels to the past to interview each possible witness of the anomaly.[4] Because he is officially briefed on each interviewee's life and ultimate fate, he is warned that deliberately changing the past, however well-intentioned, is punishable by being forcibly stranded in the past.[4]

After uneventfully interviewing Alan Sami, an elderly man who played the violin in Oklahoma City Airship Terminal, Gaspery-Jacques interviews Olive, also learning little. Knowing that she is about to die during an imminent global pandemic, he defies protocols and warns her to return home immediately. Trusting his warning, Olive avoids her fate and safely reunites with her family as the pandemic erupts.

Zoey urges Gaspery-Jacques to go on the lam, but he persuades her to help him continue investigating the anomaly, incriminating herself as well. He witnesses the anomaly at the same time as Vincent, then travels to 1918 to accomplish his true goal: to personally assure Edwin of his sanity, saving him from being committed to an insane asylum.[7]: 219  Returning to the Time Institute, Gaspery-Jacques is arrested alongside Zoey, but he does not regret his actions even upon learning that Edwin's ultimate death from the Spanish flu remains unchanged.[7]: 224   Gaspery-Jacques's punishment is carried out by forced time-travel to 20th-century Ohio, where, at the murder scene that Mirella witnessed, he is framed and left to be arrested and sentenced to life in prison.

Years later, Zoey, who has joined another organization with time travel technology, saves a sixty-year-old Gaspery-Jacques from his incarceration, bringing him to safe lodging near Oklahoma City in 2172. To evade the Time Institute, he receives a new identity and facial surgery, becoming Alan Sami. He realizes that he himself will cause the anomaly by the meeting of his past and future selves at the spaceport.[8] Decades later, having learned the violin and moved to Oklahoma City, Alan plays at the Airship Terminal on the destined day, seeing reality corrupt and repair itself as Edwin, Vincent, Olive, and his past selves all appear before him.
",0
Q19902777,"""What would happen if the world were ending? A catastrophic event renders the earth a ticking time bomb. In a feverish race against the inevitable, nations around the globe band together to devise an ambitious plan to ensure the survival of humanity far beyond our atmosphere, in outer space. But the complexities and unpredictability of human nature coupled with unforeseen challenges and dangers threaten the intrepid pioneers, until only a handful of survivors remain . . . Five thousand years later, their progeny--seven distinct races now three billion strong--embark on yet another audacious journey into the unknown . . . to an alien world utterly transformed by cataclysm and time: Earth"" --",0
Q4880453,"From back cover Tor paperback December 1997:

Two hundred years in the future regular human beings hate and fear the Sleepless and the SuperSleepless, genetically modified humans who are immune to disease and hunger, and need no sleep.  When the Sleepless plot to take over the world and leave regular humans powerless, civiliaztion and the very meaning of the word ""human"" hang in the balance.",0
Q4779520,"The story takes place in 2048, 51 years after scientists at Lawrence Livermore National Laboratory develop a force field-generating device they term the Bobbler. The Bobbler creates a perfectly spherical, reflective, impenetrable, and persistent shield around or through anything.

The bureaucracy running the Laboratory decide to use the Bobbler as a weapon. Declaring themselves the ""Peace Authority"", they enclose the world's weapons and military bases in bobbles, and occasionally entire cities or governments. A brief war is triggered but ends quickly as the military is cut off from command, their weapons, and each other. It is presumed that the people within the bobbles die due to a lack of air and sunlight, since it is believed that the universe is partitioned by a bobble into two sections (inside and outside the bobble). In this new world, governments are weak where they are permitted at all; the Peace Authority seizes control and becomes a worldwide government. In an effort to retain their monopoly on the Bobbler, the Peace Authority makes technological progress illegal and returns the planet to a level similar to that of the 19th century.

The story opens with the crew of a military spaceplane emerging from their bobble and being picked up by a group of Tinkers. The Tinkers are a rebel group who have continued to secretly develop technology to a point well beyond what the Authority allows. Their emergence reveals two previously unknown facts about bobbles: one is that they are not force fields, but rather stasis fields inside which no time elapses, and the second is that they do not last forever, but will eventually ""pop"" at a time that is not initially determinable by the operators of the Bobbler. The bobble around the spaceplane is the first one known to pop; it is eventually found that the first bobbles last roughly fifty years.

One of the original inventors of the bobble helped form the Tinkers. He develops a more advanced version of the bobbler which can produce bobbles of any size, unlike the Authority's original which is at least house-sized and requires a huge amount of power to run. They also find that they can set the duration of a bobble. Using their new device, they learn that one cannot form a bobble around another. This provides a defence; one can carry a small bobble (in a pocket, for instance), making it impossible for the Peace Authority to bobble that person. With the help of a young thief and mathematical genius, they lead a rebellion to try to bobble the power generators of the Peace Authority and thus neutralize its primary weapon.
",0
Q7728249,"The novel deals with the efforts of an alien species to escape their homeworld and integrate into a new society. In the novel, the plot beings with the system passing through a cloud of interstellar debris, resulting in a high rate of in-falling matter. The species' unique biology and biological technology complicate matters. The book starts with the tale's beginning and then shifts toward the structure of the imagery surrounding the suns, moons, and comets. Then the plot continues on an individual's life and the cultivation culture.
",0
Q131376024,Atlantis has returned to Earth. The team members have dispersed and are beginning new lives far from the dangers of the Pegasus galaxy. They think the adventure is over.,0
Q5243636,"The story is set in a dystopian future in which an overpopulated world solves the problem by allocating people only one day per week. For the rest of the six days they are ""stoned"", a kind of suspended animation. The novels focus on a man, Jeff Caird, who is a daybreaker, someone who lives more than one day a week. He is not like most daybreakers; he belongs to a government defying group called the “Immers”. The Immers are a very large and powerful group that works to create a better government. Not all Immers are daybreakers, so to get messages and information from one day to the next, they have daybreakers, like Jeff, to work in every day. The daybreakers of the Immers assume seven different personalities and seven different jobs. They slip from culture to culture, in seven different worlds.

As Jeff goes day to day, he runs into problems while working as an Immer and as a daybreaker, and must cover his tracks, all while trying to keep up with his seven different lives, families, friends, and jobs. Eventually the stress makes Jeff unstable, and the Immers must dispose of him to keep the rest of the Immers safe.  Jeff, wanting to live, tries to escape the Immers, but there are undercover Immers in every job, area, and government level. Jeff is caught and put in a sort of insane asylum, classified with “multiple personality disorder”, for the legal time before he can be considered “incurable” and killed. But Jeff has an escape plan...
",0
