author_qid,pubDate,goodreads_id,title,authorLabel,work_qid,year,n_nom,n_win,awards_as_of_year,age,birth_country,gender,topicality,max,count,median
Q1006918,1965-01-01T00:00:00Z,,The Ship That Sailed the Time Stream,G. C. Edmondson,Q122452512,1966,1,0,0,44.0,United States,male,0.21999179314009068,,,
Q1029497,2006-11-28T00:00:00Z,,Carnival,Elizabeth Bear,Q25217435,2007,2,0,1,36.0,United States,female,0.16962410534905834,,,
Q1029497,2007-08-01T00:00:00Z,,Undertow,Elizabeth Bear,Q131381664,2008,1,0,4,37.0,United States,female,0.24587177827828371,,,
Q1029497,2010-02-20T00:00:00Z,,Chill,Elizabeth Bear,Q131382134,2011,1,0,13,40.0,United States,female,-0.19535570639797922,,,
Q1029497,2011-02-22T00:00:00Z,,Grail,Elizabeth Bear,Q131382162,2012,1,0,15,41.0,United States,female,0.1829149496995385,,,
Q1029714,1988-07-01T00:00:00Z,,Hellspark,Janet Kagan,Q131376311,1989,1,0,0,43.0,United States,female,0.6360657445689816,,,
Q1038440,2003-03-01T00:00:00Z,,Veniss Underground,Jeff VanderMeer,Q7920028,2004,1,0,1,36.0,United States,male,-1.0801967381258273,,,
Q1038440,2009-11-01T00:00:00Z,,Finch,Jeff VanderMeer,Q3745649,2010,2,0,9,42.0,United States,male,0.16824196824887488,,,
Q1038440,2014-02-04T00:00:00Z,24946895.0,Annihilation,Jeff VanderMeer,Q16961640,2015,1,1,11,47.0,United States,male,0.16815469938617372,,,
Q1038440,2014-05-06T00:00:00Z,,Authority,Jeff VanderMeer,Q16835895,2015,1,0,11,47.0,United States,male,0.16524021311418396,,,
Q1038440,2014-08-29T00:00:00Z,,Acceptance,Jeff VanderMeer,Q16824659,2015,1,0,11,47.0,United States,male,-0.17175533317729103,,,
Q1038440,2017-04-25T00:00:00Z,,Borne,Jeff VanderMeer,Q30608684,2018,2,0,14,50.0,United States,male,0.09155279947146827,,,
Q105994,,2977727.0,Perfume,Patrick Süskind,Q459303,1987,0,1,0,38.0,Germany,male,0.3048510180496188,14.0,8.0,12.5
Q1061225,1977-05-01T00:00:00Z,,Inherit the Stars,James P. Hogan,Q3835810,1978,1,0,0,37.0,United Kingdom,male,0.34480906959390045,,,
Q1061225,1979-06-01T00:00:00Z,,The Two Faces of Tomorrow,James P. Hogan,Q11519513,1980,1,0,1,39.0,United Kingdom,male,-0.25926134754787744,,,
Q1061225,1980-03-01T00:00:00Z,74625.0,Thrice Upon a Time,James P. Hogan,Q7798123,1981,1,0,3,40.0,United Kingdom,male,0.7353435871882766,,,
Q1061225,1981-07-01T00:00:00Z,,Giants' Star,James P. Hogan,Q11479750,1982,1,0,4,41.0,United Kingdom,male,0.6236189362349531,,,
Q1061225,1983-06-01T00:00:00Z,,Code of the Lifemaker,James P. Hogan,Q5140094,1984,1,0,5,43.0,United Kingdom,male,0.7117343831465933,,,
Q1061225,1985-10-01T00:00:00Z,,The Proteus Operation,James P. Hogan,Q7758618,1986,1,0,6,45.0,United Kingdom,male,0.6803380897140126,,,
Q1066587,1991-01-01T00:00:00Z,,The Little Country,Charles de Lint,Q131413612,1992,1,0,8,41.0,Netherlands,male,0.7771877239233141,,,
Q1066587,1997-02-01T00:00:00Z,,Trader,Charles de Lint,Q131413614,1998,1,0,12,47.0,Netherlands,male,-0.9415020652563224,,,
Q1066587,1998-02-01T00:00:00Z,,Someplace to Be Flying,Charles de Lint,Q131413615,1999,1,0,13,48.0,Netherlands,male,1.0360760211677231,,,
Q1066587,2000-06-01T00:00:00Z,,Forests of the Heart,Charles de Lint,Q122452546,2001,1,0,14,50.0,Netherlands,male,0.011289635999246699,,,
Q1066587,2001-10-01T00:00:00Z,,The Onion Girl,Charles de Lint,Q7755109,2002,1,0,16,51.0,Netherlands,male,0.8649278616170062,,,
Q1066918,2009-12-02T00:00:00Z,,Sleepless,Charlie Huston,Q7539916,2011,1,0,0,43.0,United States,male,0.19385928172307912,,,
Q1070662,1967-01-01T00:00:00Z,,The Butterfly Kid,Chester Anderson,Q7720810,1968,1,0,0,36.0,United States,male,0.17996138462824401,,,
Q1090406,1984-03-01T00:00:00Z,924936.0,Dr. Adder,K. W. Jeter,Q2113191,1985,1,0,0,35.0,United States,male,0.6235096653809324,,,
Q1090406,1989-02-01T00:00:00Z,,Farewell Horizontal,K. W. Jeter,Q129321723,1990,2,0,2,40.0,United States,male,0.379150911547864,,,
Q1090406,1998-11-01T00:00:00Z,,Noir,K. W. Jeter,Q7047624,1999,1,0,7,49.0,United States,male,0.791929930866191,,,
Q1095977,1984-08-01T00:00:00Z,,Frontera,Lewis Shiner,Q122452527,1985,1,0,1,35.0,United States,male,0.6248338566067672,,,
