wikipedia_url,work_qid
https://en.wikipedia.org/wiki/A_Clash_of_Kings,Q300370
https://en.wikipedia.org/wiki/Robots_and_Empire,Q377230
https://en.wikipedia.org/wiki/Dune_(novel),Q190192
https://en.wikipedia.org/wiki/2061:_Odyssey_Three,Q212718
https://en.wikipedia.org/wiki/The_Gods_Themselves,Q389750
https://en.wikipedia.org/wiki/Cyteen,Q356107
https://en.wikipedia.org/wiki/The_Stress_of_Her_Regard,Q151550
https://en.wikipedia.org/wiki/Surface_Detail,Q302026
https://en.wikipedia.org/wiki/The_Lathe_of_Heaven,Q132062
https://en.wikipedia.org/wiki/Slaughterhouse-Five,Q265954
https://en.wikipedia.org/wiki/Chapterhouse:_Dune,Q282814
https://en.wikipedia.org/wiki/The_Stand,Q149552
https://en.wikipedia.org/wiki/Time_(novel),Q74378
https://en.wikipedia.org/wiki/Excession,Q74362
https://en.wikipedia.org/wiki/3001:_The_Final_Odyssey,Q223784
https://en.wikipedia.org/wiki/Dying_of_the_Light_(Martin_novel),Q135165
https://en.wikipedia.org/wiki/The_Amber_Spyglass,Q129929
https://en.wikipedia.org/wiki/The_Windup_Girl,Q92630
https://en.wikipedia.org/wiki/Schild%27s_Ladder,Q137536
https://en.wikipedia.org/wiki/The_Tower_at_Stony_Wood,Q277911
https://en.wikipedia.org/wiki/The_Anubis_Gates,Q128324
https://en.wikipedia.org/wiki/Kiln_People,Q546785
https://en.wikipedia.org/wiki/Beyond_the_Blue_Event_Horizon,Q538742
"https://en.wikipedia.org/wiki/Immortality,_Inc.",Q519935
https://en.wikipedia.org/wiki/Gods_of_Riverworld,Q516848
https://en.wikipedia.org/wiki/Cryptonomicon,Q534975
https://en.wikipedia.org/wiki/The_Diamond_Age,Q543562
https://en.wikipedia.org/wiki/Starship_Troopers,Q492207
https://en.wikipedia.org/wiki/Song_of_Kali,Q489581
https://en.wikipedia.org/wiki/The_Road,Q1140295
https://en.wikipedia.org/wiki/The_Legacy_of_Heorot,Q589959
https://en.wikipedia.org/wiki/The_Shadow_of_the_Torturer,Q1150125
https://en.wikipedia.org/wiki/A_Case_of_Conscience,Q586831
https://en.wikipedia.org/wiki/The_Transmigration_of_Timothy_Archer,Q1138582
https://en.wikipedia.org/wiki/Dreamsnake,Q598315
https://en.wikipedia.org/wiki/The_Chronoliths,Q1099716
https://en.wikipedia.org/wiki/Perdido_Street_Station,Q1143215
https://en.wikipedia.org/wiki/The_Book_of_Skulls,Q1132953
https://en.wikipedia.org/wiki/Kafka_on_the_Shore,Q579744
https://en.wikipedia.org/wiki/Axis_(novel),Q1078499
https://en.wikipedia.org/wiki/Komarr,Q594567
https://en.wikipedia.org/wiki/Going_Postal,Q595128
https://en.wikipedia.org/wiki/No_Enemy_But_Time,Q964451
https://en.wikipedia.org/wiki/Lucifer%27s_Hammer,Q471741
https://en.wikipedia.org/wiki/How_Few_Remain,Q2468406
https://en.wikipedia.org/wiki/The_Songs_of_Distant_Earth,Q472368
https://en.wikipedia.org/wiki/The_Dispossessed,Q467720
https://en.wikipedia.org/wiki/Good_Omens,Q1052459
https://en.wikipedia.org/wiki/To_Your_Scattered_Bodies_Go,Q2502043
https://en.wikipedia.org/wiki/Chasm_City,Q1068060
https://en.wikipedia.org/wiki/The_Children_Star,Q1031337
https://en.wikipedia.org/wiki/Making_Money,Q2469019
https://en.wikipedia.org/wiki/Foundation_and_Earth,Q1050014
